CreditScore,Age,Tenure,NumOfProducts,New_Estimated_Salary,Gender_Female,Gender_Male
567,35,8,1,8865.907000000001,0,1
800,38,1,2,5155.343,0,1
660,32,0,1,8460.5,1,0
667,40,1,1,1916.289,1,0
454,50,10,1,15434.4,1,0
807,40,1,1,4625.365,1,0
634,26,8,1,2176.096,0,1
773,40,10,2,6930.315,1,0
676,35,0,2,13991.158,0,1
785,34,9,1,6860.036,1,0
636,34,8,2,3857.013,0,1
597,66,3,1,7053.253,1,0
758,30,3,1,15624.905999999999,1,0
731,40,7,1,15604.864000000001,1,0
707,33,2,1,8333.578,1,0
554,46,4,2,5732.092,0,1
701,63,3,3,14472.745,0,1
676,30,5,2,17906.658,1,0
616,59,5,1,1769.9479999999999,0,1
718,67,7,3,8278.208,1,0
613,33,3,2,5775.121,0,1
679,39,0,1,15983.057999999999,0,1
668,46,0,2,2938.802,0,1
683,72,3,1,5287.6410000000005,0,1
687,44,9,2,10304.22,1,0
723,48,7,2,15069.457999999999,0,1
666,50,7,1,14013.61,1,0
552,42,9,2,10106.971000000001,0,1
730,39,1,1,14567.960000000001,0,1
591,24,6,1,2531.082,0,1
556,46,3,1,10850.066,0,1
686,39,4,2,16282.060000000001,1,0
647,29,2,2,17903.268,1,0
850,30,5,2,10218.027,0,1
605,32,9,2,5572.424,0,1
566,42,3,1,15748.61,0,1
567,46,1,2,10957.258,1,0
644,35,5,3,6379.562,0,1
638,41,7,2,4388.941000000001,0,1
698,51,2,1,8641.028,1,0
790,37,6,2,11948.401,0,1
695,29,9,2,11156.545,1,0
592,28,5,1,3960.858,0,1
681,44,3,2,16355.836,1,0
618,32,5,1,15484.34,0,1
612,32,9,2,17709.216,0,1
763,32,1,2,6055.244000000001,1,0
627,30,6,1,11802.909,0,1
687,38,8,2,6658.013000000001,0,1
724,69,5,1,6228.091,1,0
773,41,4,2,2492.4919999999997,0,1
663,30,4,3,10137.105,0,1
627,40,10,2,19479.242000000002,0,1
816,38,5,3,7190.577,1,0
599,38,9,1,15723.960000000001,0,1
846,38,5,1,18761.616,1,0
744,56,9,2,16949.860999999997,0,1
691,33,1,1,11358.079,1,0
751,37,9,2,4973.494000000001,1,0
615,30,7,2,15634.684,0,1
696,60,8,1,19685.84,0,1
529,44,1,2,1416.1299999999999,1,0
502,35,6,2,8061.847,1,0
493,36,2,2,9977.03,1,0
624,45,5,1,6879.414999999999,1,0
506,41,1,2,3176.63,1,0
614,40,6,1,2033.979,0,1
612,31,8,1,5412.986,1,0
836,37,10,2,11132.441,1,0
636,36,5,2,11157.33,0,1
604,56,0,1,12495.456,1,0
572,30,6,1,10084.382000000001,0,1
738,39,1,2,18943.086,1,0
650,23,5,1,18062.243,1,0
706,29,1,1,13326.769,1,0
784,31,7,2,14320.441,0,1
760,41,6,2,10149.123,1,0
634,24,2,1,6334.0650000000005,1,0
535,30,6,1,12571.053,0,1
720,23,0,2,10412.017,0,1
479,35,4,1,4725.179,0,1
540,31,7,1,18305.16,1,0
742,33,0,1,10766.791000000001,0,1
770,36,2,1,10592.269,0,1
524,36,10,2,10961.457,1,0
669,41,0,2,10783.903,1,0
599,28,4,2,6084.308999999999,1,0
594,18,1,1,16768.956,0,1
646,36,6,2,5321.7300000000005,1,0
650,37,9,2,1797.4080000000001,0,1
750,52,6,1,12623.318,1,0
570,50,5,1,17780.544,1,0
726,44,2,2,2673.386,1,0
687,28,7,1,2741.1189999999997,0,1
674,32,2,2,14057.917000000001,0,1
642,41,7,1,3767.447,1,0
684,46,3,2,15413.732999999998,1,0
601,46,2,1,3268.388,0,1
625,49,6,1,16558.093,0,1
654,40,5,1,17361.709,0,1
707,40,1,2,1409.04,0,1
681,32,3,2,9096.737,0,1
621,51,4,1,17774.057999999997,0,1
493,33,8,1,5965.9529999999995,1,0
574,36,1,2,7170.911999999999,0,1
639,38,5,2,9371.638,1,0
673,41,9,1,15134.935000000001,1,0
522,30,3,2,14549.085000000001,0,1
708,34,3,1,12145.788,0,1
548,37,4,1,12176.367999999999,0,1
545,39,6,1,3841.0739999999996,1,0
497,41,5,1,8872.922,0,1
660,50,1,3,19184.915,0,1
657,32,3,2,7312.761,0,1
726,34,9,2,1412.161,0,1
750,33,2,1,7133.344,0,1
589,38,4,1,9548.348,0,1
651,25,8,2,12676.119999999999,1,0
607,47,4,1,7945.061,0,1
536,61,8,1,6430.849,1,0
723,49,4,2,8997.225,1,0
438,36,4,2,6442.05,1,0
577,25,3,2,12450.829,0,1
817,44,8,1,6550.191000000001,0,1
600,26,6,1,8254.701,1,0
681,59,4,1,14016.695000000002,0,1
536,35,4,1,7717.842,1,0
774,36,7,1,11897.174,0,1
807,42,7,1,2588.572,0,1
649,36,6,1,1982.509,1,0
744,36,10,2,18286.784,0,1
728,43,7,2,4002.37,0,1
639,35,1,2,13909.412,1,0
517,59,8,2,10124.008,1,0
669,25,7,2,12438.289999999999,0,1
537,59,9,2,10379.977,0,1
683,39,4,2,17171.681,0,1
556,35,10,2,19275.118,0,1
687,29,7,1,11305.092,1,0
803,31,9,2,14130.053,0,1
842,37,4,2,8707.117999999999,1,0
794,30,8,2,2411.391,0,1
654,37,2,2,18630.059,0,1
650,37,5,1,2449.5029999999997,0,1
539,39,2,2,4818.994000000001,0,1
726,35,9,2,10055.698,1,0
706,23,5,1,16412.841,1,0
669,43,1,1,1560.28,0,1
609,53,6,2,12421.827000000001,1,0
806,40,5,1,14283.864000000001,0,1
479,37,6,1,16006.09,0,1
836,29,9,1,15374.773000000001,1,0
652,31,1,1,15805.448999999999,0,1
660,40,8,1,18515.694,1,0
533,22,10,1,4385.205,1,0
790,42,1,1,19818.273,0,1
509,29,1,2,6911.314,0,1
720,46,3,1,13351.651000000002,0,1
635,46,8,2,6073.916,0,1
790,34,2,1,19942.041,1,0
650,31,1,2,2707.3810000000003,1,0
621,41,5,1,9555.122,0,1
507,46,8,1,7032.3679999999995,1,0
683,47,1,2,14898.914999999999,0,1
499,46,6,2,7345.755,1,0
659,44,9,1,16986.201,1,0
762,34,8,1,19179.029000000002,1,0
535,29,5,2,5270.955,1,0
694,31,4,2,2611.682,0,1
469,37,9,1,11989.086,0,1
673,59,0,2,2106.371,0,1
682,64,9,2,10331.844000000001,1,0
606,23,10,1,9089.604,1,0
697,42,10,2,6131.215,1,0
418,46,9,1,8101.45,1,0
564,30,0,2,13417.515,1,0
516,51,8,2,16877.354,0,1
765,34,9,1,13828.017000000002,0,1
720,43,6,2,17255.777,1,0
695,53,8,1,7014.08,1,0
813,25,5,1,13295.932999999999,1,0
505,33,3,3,4544.5779999999995,1,0
569,43,8,2,17818.728,0,1
712,30,6,2,15241.797,1,0
655,27,2,1,4948.066000000001,0,1
633,25,1,1,10059.898,0,1
461,34,5,1,16778.428,1,0
594,24,0,1,7140.517,1,0
432,42,9,1,11026.524000000001,0,1
646,50,5,2,14220.85,1,0
752,30,4,1,3688.585,0,1
502,32,1,1,12276.395,1,0
672,47,1,1,9157.492,0,1
512,43,1,2,5247.136,0,1
504,32,8,1,1628.194,1,0
591,40,1,1,13676.716,1,0
712,29,2,1,14437.5,1,0
747,47,5,4,12996.456,1,0
507,35,2,2,9763.393,1,0
669,29,9,1,9390.161,0,1
648,33,5,1,2907.627,0,1
668,46,2,3,8904.846000000001,1,0
658,29,3,1,2020.702,0,1
460,35,8,2,18933.96,1,0
737,32,7,2,18940.271,1,0
687,72,9,1,6982.94,1,0
627,32,10,2,10328.761999999999,0,1
729,32,6,1,7991.9130000000005,0,1
850,38,0,1,14897.772,1,0
630,34,9,2,11400.635,0,1
724,28,5,1,9649.814,0,1
533,38,1,2,15295.632999999998,0,1
601,42,9,1,10331.574,1,0
682,37,8,1,3517.918,1,0
701,42,6,1,15334.238000000001,1,0
659,36,6,2,9683.3,0,1
743,35,1,1,18930.77,1,0
778,41,7,1,6333.719,0,1
529,29,4,1,11281.378999999999,0,1
679,35,1,1,17829.109,0,1
782,35,4,1,11956.534,1,0
544,47,5,1,9992.208,0,1
467,28,10,1,3234.929,0,1
615,35,2,2,13981.61,1,0
622,31,1,1,15230.547,1,0
808,33,2,1,11390.78,1,0
598,28,8,2,4604.108,0,1
699,59,3,1,16357.025,0,1
565,49,7,2,8960.926,0,1
654,38,8,2,8865.944,0,1
576,52,2,2,1664.416,0,1
645,37,1,2,6898.755,1,0
563,46,8,1,16314.55,1,0
521,41,2,2,11308.943,1,0
628,39,6,2,13444.16,0,1
790,46,8,1,13926.648000000001,0,1
468,22,1,1,19478.311999999998,1,0
524,52,2,1,17389.942000000003,0,1
593,43,9,2,7635.7429999999995,0,1
850,32,7,2,15522.7,1,0
702,26,2,1,10874.712,0,1
640,67,3,1,4296.463,1,0
512,41,6,1,10050.780999999999,1,0
720,34,3,2,13612.029,1,0
621,32,1,2,16877.947,0,1
598,41,3,1,19146.878,0,1
589,29,2,2,9832.027,0,1
837,49,8,1,5097.457,0,1
667,24,4,2,18032.983,0,1
496,34,1,2,18084.481,1,0
574,30,5,1,13779.335000000001,0,1
489,51,3,2,17409.828,1,0
823,44,1,2,18249.57,1,0
503,28,5,2,12591.817,1,0
543,36,6,2,17672.828,0,1
692,33,9,1,11350.592999999999,0,1
657,30,1,2,2331.788,0,1
447,32,10,1,15181.576000000001,1,0
657,34,3,1,15389.545999999998,0,1
684,32,9,2,6759.969,0,1
794,30,1,1,15676.845000000001,1,0
729,26,4,2,3935.638,0,1
620,33,9,1,19271.757,1,0
758,51,8,1,11652.007000000001,0,1
739,29,3,2,10553.396,0,1
729,32,7,1,17923.023,1,0
593,35,9,1,7115.410000000001,0,1
772,30,6,2,19723.803,0,1
637,41,9,2,14547.735999999999,1,0
563,57,6,2,3929.7480000000005,0,1
661,33,9,2,8417.481,0,1
701,34,6,1,11937.474,1,0
673,69,3,2,3719.6150000000002,1,0
588,40,10,1,12150.418,1,0
742,44,8,1,1737.527,1,0
827,60,2,2,6061.5830000000005,1,0
734,34,6,1,1310.724,0,1
603,30,8,2,4753.646,0,1
762,69,9,1,19699.369,1,0
654,43,9,2,8208.135,0,1
729,39,4,1,15961.817000000001,0,1
588,36,2,2,9253.6,1,0
771,38,5,2,7298.561,1,0
850,23,9,1,6298.096,1,0
583,40,4,2,2692.043,1,0
692,53,7,2,11981.719000000001,0,1
574,43,3,1,10018.742999999999,1,0
717,35,4,1,16757.306,0,1
742,35,5,1,8450.957,0,1
782,39,8,2,3394.9669999999996,0,1
850,56,1,1,15585.039999999999,0,1
667,34,5,2,10290.863000000001,0,1
727,35,5,1,14275.471,0,1
589,39,7,2,9598.564,1,0
603,30,6,2,1928.2849999999999,0,1
659,36,2,2,14906.614000000001,0,1
791,36,6,1,18996.991,0,1
648,37,7,2,19423.892,1,0
739,27,6,1,5757.237999999999,1,0
616,18,6,2,2730.858,0,1
445,31,7,1,17589.353,0,1
771,41,5,2,9291.467,1,0
662,39,5,1,1959.673,1,0
633,39,2,2,19120.703,1,0
645,37,7,2,1358.993,1,0
747,41,9,1,3243.094,0,1
639,39,1,1,9245.596000000001,1,0
769,51,9,2,4025.779,0,1
590,29,2,2,12248.773,1,0
542,43,8,1,1035.074,1,0
768,40,8,2,6908.046,1,0
679,34,7,1,5698.4580000000005,1,0
570,33,8,1,12464.142,1,0
487,33,8,1,4136.585,0,1
645,47,9,1,12184.02,0,1
729,44,6,2,15173.342999999999,0,1
645,24,3,1,1163.817,1,0
511,57,8,1,18125.876,1,0
529,31,2,2,6099.323,1,0
489,52,1,1,3724.011,1,0
825,35,6,1,2634.233,1,0
713,26,4,2,14468.217,1,0
613,30,5,2,17063.898,1,0
655,34,3,2,15963.876999999999,1,0
562,35,3,1,17711.27,0,1
656,30,3,2,1710.4,0,1
779,42,5,2,2595.191,1,0
775,77,6,1,3783.6639999999998,1,0
811,31,7,1,18237.235,0,1
652,37,9,1,15913.283,1,0
494,69,9,1,2448.944,0,1
604,30,5,2,7578.655000000001,0,1
784,35,3,2,8148.364,0,1
731,47,1,3,19173.467,1,0
714,26,3,2,6548.294,0,1
689,40,8,1,4965.624,0,1
558,40,4,1,9237.854,0,1
516,45,8,1,11581.816,1,0
605,32,5,2,4213.528,1,0
793,29,8,2,19212.066,0,1
697,74,3,2,1644.5790000000002,1,0
544,22,3,1,11031.739,0,1
577,35,4,1,10540.778999999999,1,0
593,27,10,3,9462.0,0,1
555,48,3,2,7913.478,0,1
589,36,8,1,2695.572,0,1
676,37,5,1,16958.318,1,0
627,38,8,2,8427.009,0,1
445,25,6,2,11942.594000000001,0,1
632,36,7,2,5252.665,1,0
593,41,6,1,6517.066000000001,1,0
678,35,4,1,12551.832,1,0
698,52,1,1,16888.639000000003,1,0
567,38,1,2,10784.177,1,0
605,36,7,1,19058.859,0,1
753,38,9,1,18082.999,1,0
698,51,6,4,15714.360999999999,1,0
778,34,7,1,11304.681,1,0
622,33,3,2,4855.3769999999995,0,1
715,31,2,2,18160.072,1,0
554,38,4,2,17262.967,1,0
709,44,9,1,11703.119999999999,0,1
632,42,4,1,10099.85,0,1
454,48,5,1,9315.177,1,0
707,73,6,1,6276.88,0,1
610,26,8,2,16603.108,0,1
711,34,6,2,17531.038,1,0
695,42,0,2,14072.464000000002,1,0
782,41,4,1,13294.388,1,0
749,30,1,2,12655.164999999999,0,1
745,34,7,1,3180.292,0,1
850,47,6,1,18739.102,0,1
651,45,2,2,2305.451,0,1
502,33,8,2,12350.901,0,1
590,37,6,1,12825.617999999999,0,1
512,46,3,2,5640.814,1,0
652,34,6,2,10433.176,1,0
709,39,9,1,7364.186,1,0
508,35,1,1,5937.482,0,1
608,40,7,1,16115.485,1,0
642,39,4,1,7682.124000000001,1,0
739,41,5,2,14388.225,0,1
645,29,1,2,19647.435,0,1
693,41,4,2,15638.147,0,1
814,48,9,1,18579.19,0,1
841,36,5,1,12266.297999999999,1,0
635,35,2,1,9088.312,0,1
770,46,9,1,1472.536,0,1
678,49,8,2,9809.069,1,0
571,38,6,2,3896.2940000000003,1,0
580,37,9,2,7710.866,0,1
702,44,9,1,5920.741,0,1
499,38,9,2,18304.22,1,0
683,41,6,2,18436.614,0,1
596,36,2,2,12555.795,0,1
640,48,1,1,13599.557999999999,0,1
756,60,3,1,9352.419,1,0
718,39,6,2,6388.91,0,1
643,45,5,1,14251.35,0,1
844,56,5,1,15723.006,0,1
714,49,5,1,14191.494,1,0
731,37,8,2,17033.835,0,1
600,35,4,2,10407.651,0,1
604,36,10,1,13487.537,0,1
663,27,8,1,18800.799,0,1
633,35,3,2,3624.976,0,1
681,49,8,1,18728.051,0,1
671,34,10,1,2323.538,1,0
619,32,4,2,17279.243,1,0
733,74,3,1,13458.957999999999,0,1
624,36,6,2,8474.996000000001,0,1
729,34,9,2,4285.597,1,0
783,41,5,1,17694.595999999998,1,0
537,42,1,1,12715.48,0,1
521,61,0,1,10935.653,1,0
565,44,1,2,8960.280999999999,1,0
676,34,8,1,9181.738000000001,1,0
673,38,2,2,13490.134,1,0
546,30,5,2,19854.309,1,0
616,71,4,2,17359.938000000002,0,1
814,36,6,2,9865.701,1,0
679,34,7,1,12190.414,0,1
595,29,6,1,8777.106,0,1
557,36,3,1,14407.802,0,1
591,34,3,1,3097.206,1,0
555,29,4,1,4745.493,0,1
605,34,2,1,3598.2419999999997,1,0
752,30,3,2,10499.128,1,0
645,39,8,2,9686.436,0,1
612,38,7,1,19350.292999999998,1,0
540,40,3,1,19986.275,1,0
687,39,2,3,18815.06,1,0
615,64,0,2,3589.6089999999995,0,1
535,58,1,2,1177.998,0,1
735,21,1,2,2238.8,1,0
457,41,8,3,18575.002,0,1
677,30,1,1,17422.588,0,1
833,59,1,1,3072.252,0,1
737,39,7,2,5535.639,1,0
607,48,4,3,17356.829999999998,1,0
528,34,1,1,17676.326999999997,0,1
850,46,9,1,8892.068,0,1
626,29,4,2,4110.482,1,0
681,38,2,2,2353.15,0,1
670,35,3,2,17462.706,1,0
756,26,5,1,13503.457,1,0
745,32,2,4,17970.513,1,0
606,34,3,1,19107.622,0,1
675,36,7,1,14939.970000000001,0,1
498,30,1,2,13579.553,1,0
665,37,3,1,11035.967999999999,1,0
555,51,5,3,18912.289,0,1
787,39,10,1,10116.83,0,1
655,28,10,2,12656.521,0,1
652,71,4,1,12010.710000000001,0,1
632,23,3,1,14723.077,0,1
539,22,0,2,3877.2650000000003,1,0
620,41,9,2,8885.247,1,0
711,51,7,3,3840.9790000000003,0,1
773,43,8,2,3590.846,0,1
618,56,7,1,14240.026999999998,0,1
559,45,8,1,16978.145,0,1
660,20,6,1,5792.99,1,0
676,48,2,1,1506.853,1,0
607,34,9,1,17774.772,0,1
502,33,5,2,3330.0559999999996,0,1
588,37,7,2,13960.760999999999,1,0
850,19,8,1,6856.989,0,1
805,45,9,1,18942.875,1,0
722,37,9,2,3192.195,0,1
720,26,10,2,4550.724,0,1
523,63,6,1,11940.463,0,1
534,53,7,2,8061.9169999999995,1,0
648,31,7,1,12998.092999999999,0,1
506,50,3,2,1201.679,0,1
642,32,3,2,8869.883,0,1
535,38,0,1,8042.565,1,0
480,25,3,2,18164.713,1,0
636,30,8,2,10968.561,0,1
645,21,1,2,2872.607,1,0
490,31,3,1,11406.677,0,1
618,42,8,2,7667.960000000001,0,1
647,33,4,1,15232.304,1,0
698,44,10,2,19805.916,0,1
589,37,6,1,1898.8580000000002,1,0
651,29,3,1,5453.051,0,1
507,41,3,2,13853.609,0,1
680,32,5,1,11695.76,0,1
727,52,1,1,8025.967,1,0
627,70,1,1,14529.95,0,1
704,48,8,1,17349.845,0,1
736,27,5,1,19213.177,0,1
613,30,9,1,17579.587,0,1
548,32,5,1,15516.560999999998,0,1
694,39,9,2,9992.403999999999,1,0
538,68,9,2,11044.05,0,1
641,32,7,2,2426.728,0,1
686,41,10,1,13308.645,1,0
608,44,5,1,13242.469000000001,1,0
540,39,1,1,10841.941,0,1
590,32,9,2,13888.914999999999,0,1
602,33,8,2,11292.874,1,0
657,31,3,1,9882.039,0,1
737,22,10,2,10632.785,1,0
650,34,4,1,14299.532000000001,0,1
551,32,4,2,5342.053,0,1
645,68,9,4,17635.387,1,0
578,40,6,1,7496.561,0,1
632,48,6,1,6434.561,0,1
758,34,1,1,6072.889,1,0
447,41,3,4,19749.039,0,1
567,59,3,2,2584.37,0,1
604,31,6,1,19202.919,0,1
651,31,7,2,12991.274000000001,0,1
649,70,9,2,10712.579,0,1
639,34,7,2,15664.881,0,1
699,51,2,2,9134.603,1,0
528,30,2,2,5077.116,0,1
661,51,6,1,6802.19,0,1
655,37,4,1,7955.508,1,0
582,50,6,2,2034.402,1,0
687,38,4,1,8839.66,0,1
531,53,5,1,14150.145,1,0
587,45,8,1,12330.957,1,0
821,28,8,1,3675.4129999999996,1,0
489,28,1,2,16797.363,0,1
651,35,2,1,17409.424,0,1
665,23,9,1,11514.733,1,0
686,38,2,3,1013.734,1,0
565,38,5,1,16830.355,1,0
672,43,5,1,6383.308999999999,0,1
740,37,9,2,7322.531,1,0
682,40,4,1,10535.255000000001,0,1
696,41,8,2,2827.683,1,0
687,34,7,1,2869.817,0,1
574,26,8,1,4309.367,0,1
646,39,0,1,17151.906,0,1
631,37,9,2,5175.218,0,1
629,61,6,2,13367.260999999999,1,0
546,27,8,2,1485.81,1,0
528,37,6,1,19711.199,0,1
850,40,6,1,8881.525,0,1
519,42,8,2,10148.572,0,1
577,37,2,1,5618.505,0,1
638,30,9,2,10664.297,0,1
758,56,1,2,1064.338,0,1
697,39,6,1,4494.629,1,0
630,50,1,1,6360.622,0,1
725,39,4,2,5764.3550000000005,0,1
606,47,0,2,5378.4220000000005,1,0
611,29,4,2,2692.769,1,0
484,34,4,1,3373.8269999999998,1,0
530,48,0,1,8508.109,1,0
838,35,0,2,19730.591,0,1
669,22,10,2,17616.374,0,1
501,57,10,2,4784.719,0,1
711,81,6,2,7227.624000000001,1,0
678,41,1,1,19662.228,1,0
459,48,4,1,1928.7060000000001,0,1
724,30,7,1,1521.653,0,1
521,40,9,1,1808.2060000000001,1,0
538,49,9,1,17377.925,1,0
684,42,3,1,3100.203,1,0
757,28,3,1,19972.772,0,1
586,43,8,1,6704.683,1,0
668,28,4,1,19301.871,0,1
667,55,9,1,13767.496,0,1
535,38,2,1,19589.659,0,1
652,28,8,2,19825.152,0,1
671,34,7,2,2638.7709999999997,0,1
451,33,6,2,18495.411,0,1
594,49,4,2,2363.1549999999997,1,0
527,31,1,1,18226.601000000002,1,0
850,36,7,1,4081.29,0,1
618,40,0,1,16061.860999999999,1,0
702,26,4,1,5974.763,1,0
607,36,10,2,19831.369,0,1
603,35,9,1,16318.162,1,0
790,50,8,1,17647.178,0,1
613,47,6,1,7714.614,0,1
666,47,2,1,3504.697,0,1
579,31,9,2,11239.598,1,0
742,21,1,1,3152.04,1,0
825,29,3,2,7119.282000000001,0,1
808,41,0,1,7988.878,0,1
728,28,4,2,3307.451,1,0
598,35,8,1,7432.285000000001,0,1
583,57,3,1,14796.499,1,0
631,33,7,1,5804.302,0,1
559,31,3,1,16094.178,1,0
532,52,3,1,14870.476999999999,0,1
580,42,2,1,10351.608,1,0
655,38,4,2,11052.771,0,1
601,29,9,1,8039.327,0,1
699,43,2,2,8281.592999999999,0,1
646,69,10,1,4042.1870000000004,0,1
518,29,9,2,16030.307999999999,0,1
638,26,1,2,2349.109,1,0
661,41,5,1,8827.960000000001,0,1
608,50,6,1,9356.877,0,1
665,55,8,1,9376.989,1,0
492,39,7,2,7132.322999999999,0,1
703,39,6,1,18365.612,0,1
636,76,9,1,3978.9620000000004,0,1
715,37,9,1,14309.649,1,0
645,29,4,2,7434.611,1,0
675,33,6,2,3404.561,1,0
641,40,5,1,10063.707,0,1
635,38,1,2,9060.505000000001,1,0
615,32,5,1,5689.71,0,1
731,37,3,1,17271.835,0,1
667,37,9,2,6773.478999999999,1,0
594,32,4,2,16296.179,1,0
692,43,2,2,16462.143,1,0
738,49,6,1,12349.927,0,1
521,39,6,2,2737.5150000000003,1,0
575,31,6,2,9568.642,1,0
850,31,6,2,17874.743,0,1
668,39,0,1,11294.667,1,0
680,42,0,1,13637.721,0,1
670,33,7,2,8818.780999999999,1,0
540,37,3,1,1937.4080000000001,0,1
627,43,8,1,12773.416000000001,0,1
521,29,3,1,15427.141,0,1
513,30,5,2,16252.366,0,1
537,53,3,1,9140.662,1,0
696,36,3,3,6503.99,1,0
498,25,8,1,13221.048999999999,0,1
686,26,1,1,7918.94,0,1
667,32,0,1,2056.069,0,1
688,26,8,1,17529.676,0,1
607,36,4,1,4641.636,1,0
613,32,0,2,12667.562,1,0
492,28,9,2,9595.708999999999,1,0
580,39,9,1,8604.498,1,0
656,38,10,1,13652.182,0,1
706,48,10,3,15824.871,1,0
835,47,5,2,4585.955,1,0
594,31,0,1,7825.586,1,0
546,20,6,1,2050.8849999999998,1,0
529,43,5,2,7947.6630000000005,1,0
785,32,3,2,5258.379,1,0
596,27,2,1,17032.057999999997,1,0
732,36,7,1,13317.248000000001,0,1
523,24,5,1,15514.412,1,0
725,29,6,2,19077.682999999997,1,0
636,48,1,1,11051.028,1,0
731,46,10,2,15301.542000000001,0,1
667,48,2,1,4322.92,0,1
737,43,8,1,1020.9799999999999,0,1
500,38,7,2,19201.323,0,1
710,37,6,1,4652.36,0,1
682,48,7,2,6506.903,1,0
513,88,10,2,5295.224,0,1
850,38,1,2,8000.664999999999,0,1
626,48,2,2,9579.498,1,0
755,40,2,2,17676.859,0,1
573,41,5,2,1447.929,0,1
659,42,2,1,16273.431,1,0
565,36,6,1,14957.559,0,1
711,41,3,2,19374.757,0,1
580,39,3,1,13704.126,0,1
765,46,8,2,16689.601000000002,1,0
637,37,8,1,18606.235999999997,0,1
671,42,6,2,19720.248,1,0
560,44,5,1,9866.127,1,0
750,36,6,2,5981.6410000000005,1,0
613,24,7,1,12900.130000000001,1,0
593,46,7,1,14556.038,1,0
504,73,8,1,3459.558,1,0
629,28,8,1,11964.77,0,1
648,45,5,1,5163.67,1,0
620,21,9,2,15488.279,0,1
636,24,9,2,3883.072,1,0
617,34,1,2,10596.525,0,1
587,40,2,4,10617.47,0,1
792,42,2,2,9266.409,1,0
737,36,9,1,18867.09,0,1
688,54,9,1,19121.263,1,0
670,27,5,1,2617.0080000000003,1,0
523,32,4,2,16784.802,0,1
683,35,9,1,8295.112,0,1
463,20,8,1,12826.839,0,1
656,28,8,1,13717.339000000002,0,1
644,34,9,2,14123.007000000001,0,1
772,34,9,2,17098.086,0,1
484,50,2,2,4817.057,1,0
772,39,4,2,14070.925,1,0
569,36,1,1,15477.570000000002,0,1
850,44,3,2,18628.552,0,1
775,28,9,1,14933.101,0,1
